CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,16,16,1.39,99.1,1.59,9.93
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,16,32,1.01,136.34,2.19,13.66
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,16,64,1.05,131.4,2.11,13.17
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,16,128,1.29,106.69,1.71,10.69
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,24,16,1.02,135.54,2.17,9.05
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,24,32,0.86,161.03,2.58,10.76
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,24,64,0.84,163.32,2.62,10.91
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,24,128,0.92,150.48,2.41,10.05
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,4,16,8.81,124.86,2.0,50.01
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,4,32,14.04,78.34,1.26,31.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,4,64,10.19,107.87,1.73,43.21
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,4,128,8.72,126.02,2.02,50.48
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,8,16,4.65,236.66,3.79,47.4
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,8,32,7.17,153.33,2.46,30.71
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,8,64,6.04,182.19,2.92,36.49
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,8,128,5.17,212.51,3.4,42.56
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,16,16,5.08,216.27,3.47,21.66
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,16,32,6.15,178.87,2.87,17.91
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,16,64,5.5,199.77,3.2,20.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,16,128,4.69,234.34,3.75,23.47
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,24,16,4.76,230.94,3.7,15.42
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,24,32,6.24,176.2,2.82,11.76
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,24,64,5.19,211.69,3.39,14.13
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8192,1,1,24,128,4.25,258.47,4.14,17.26
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8200,1,1,4,16,22.84,48.28,0.77,19.32
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8200,1,1,4,32,16.12,68.39,1.09,27.37
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8200,1,1,4,64,15.03,73.37,1.17,29.36
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8200,1,1,4,128,15.4,71.59,1.15,28.65
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8200,1,1,8,16,11.48,96.03,1.54,19.21
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,8200,1,1,8,32,8.34,132.16,2.12,26.44
