CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16400,1,1,16,-,31.86,276.89,4.43,27.7
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16400,1,1,24,-,29.45,299.55,4.79,19.98
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16384,1,1,4,-,87.86,100.11,1.6,40.08
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16384,1,1,8,-,52.75,166.75,2.67,33.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16384,1,1,16,-,47.77,184.13,2.95,18.43
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16384,1,1,24,-,45.9,191.66,3.07,12.79
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,1,-,24.68,5.58,0.09,8.95
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,1,-,207.92,5.3,0.08,8.49
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12300,1,1,1,-,701.71,5.3,0.08,8.49
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16400,1,1,1,-,1663.32,5.3,0.08,8.49
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,2,-,14.79,9.32,0.15,7.47
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,2,-,115.37,9.56,0.15,7.65
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12300,1,1,2,-,389.37,9.56,0.15,7.65
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16400,1,1,2,-,922.95,9.56,0.15,7.65
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,4100,1,1,1,-,20.23,6.82,0.11,10.93
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,8200,1,1,1,-,161.72,6.82,0.11,10.91
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12300,1,1,1,-,545.8,6.82,0.11,10.92
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16400,1,1,1,-,1293.76,6.82,0.11,10.91
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,4100,1,1,2,-,12.47,11.05,0.18,8.86
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,8200,1,1,2,-,120.82,9.13,0.15,7.3
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12300,1,1,2,-,407.77,9.13,0.15,7.31
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16400,1,1,2,-,966.58,9.13,0.15,7.3
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4100,1,1,1,-,3.34,41.27,0.66,66.17
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8200,1,1,1,-,21.69,50.85,0.81,81.39
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12300,1,1,1,-,73.19,50.85,0.81,81.42
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16400,1,1,1,-,173.49,50.85,0.81,81.39
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4100,1,1,2,-,1.5,91.89,1.47,73.67
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8200,1,1,2,-,10.82,101.96,1.63,81.6
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12300,1,1,2,-,36.5,101.96,1.63,81.63
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16400,1,1,2,-,86.52,101.96,1.63,81.6
