CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,24,64,3.33,329.89,51.08,212.83
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,4,64,5.54,199.09,27.57,689.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,8,64,3.52,313.37,43.4,542.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,16,64,3.49,315.79,43.73,273.31
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,24,64,3.32,331.65,45.93,191.38
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12288,1,1,4,64,19.33,192.0,29.46,736.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12288,1,1,8,64,13.21,280.89,43.1,538.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12288,1,1,16,64,10.81,343.41,52.7,329.38
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12288,1,1,24,64,10.68,347.46,53.32,222.17
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12300,1,1,4,64,18.66,199.43,30.68,767.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12300,1,1,8,64,12.72,292.5,45.0,562.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12300,1,1,16,64,11.07,336.32,51.74,323.38
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12300,1,1,24,64,10.27,362.46,55.76,232.33
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16400,1,1,4,64,44.5,198.26,30.52,763.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16400,1,1,8,64,28.23,312.52,48.11,601.38
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16400,1,1,16,64,26.94,327.5,50.41,315.06
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16400,1,1,24,64,24.63,358.23,55.14,229.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16384,1,1,4,64,46.58,188.82,29.24,731.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16384,1,1,8,64,29.59,297.25,46.04,575.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16384,1,1,16,64,26.25,335.13,51.9,324.38
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16384,1,1,24,64,25.32,347.33,53.79,224.12
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4096,1,1,4,-,3.16,43.47,6.23,155.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4096,1,1,8,-,1.58,86.77,12.43,155.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4096,1,1,16,-,2.07,66.36,9.51,59.44
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4096,1,1,24,-,0.92,149.07,21.35,88.96
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4100,1,1,4,-,1.07,128.46,17.67,441.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4100,1,1,8,-,0.63,217.76,29.96,374.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4100,1,1,16,-,1.1,124.74,17.16,107.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4100,1,1,24,-,0.87,158.44,21.8,90.83
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8192,1,1,4,-,27.13,40.53,6.27,156.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8192,1,1,8,-,14.44,76.16,11.79,147.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8192,1,1,16,-,20.3,54.16,8.39,52.44
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8192,1,1,24,-,13.33,82.5,12.77,53.21
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8200,1,1,4,-,7.69,143.45,19.87,496.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8200,1,1,8,-,4.79,230.26,31.89,398.62
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8200,1,1,16,-,6.9,159.77,22.13,138.31
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8200,1,1,24,-,5.2,212.23,29.39,122.46
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12288,1,1,4,-,87.18,42.56,6.53,163.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12288,1,1,8,-,46.74,79.39,12.18,152.25
